"frequency_Hz","Z_real","Z_imag"
1,4996.22213599733,-87.1512448533853
1.15688752831628,5090.13643317018,-205.74356250106
1.33838875317376,4832.06542639846,-163.546374529258
1.5483652565855,5026.03546728816,-115.592477933332
1.791284454622,4903.41455007663,-59.9255960336551
2.07231464521903,5017.03614474954,-305.175795145278
2.39743496780108,4936.5507099676,-193.435131729445
2.77356261419841,4997.35709812661,-103.262767314756
3.20869999737045,5057.69829403847,-252.439741860606
3.71210500906636,4916.61870416682,-200.749161183265
4.29448798878927,5004.23695775918,-201.296911146009
4.96823959473439,4774.52928614332,-252.906217855701
5.74769442483535,4805.12370633383,-248.100853130729
6.64943599666505,5005.94349191404,-360.245513164552
7.69264957487914,4874.19214582291,-428.692836314284
8.89953035288523,4615.60725504018,-688.495639411647
10.2957556731251,4655.48133047823,-490.877279670152
11.9110313328301,4735.94211019434,-494.487135406283
13.7797235983356,4800.93608837132,-543.502417757587
15.94159037456,4666.58735746688,-710.843502465757
18.4426270858553,4685.60189906239,-560.968673911197
21.3360452650141,4659.3319901421,-775.632518849223
24.6834046706865,4658.13041316655,-870.226901689984
28.5559230199011,4434.19193016785,-850.73582421095
33.0359912012834,4337.64590442795,-1118.53161420859
38.2189262063312,4088.93910014407,-1185.12619866129
44.2149990737449,4138.82627234139,-1031.64196686251
51.1517809929315,3954.74759718851,-1330.21409553115
59.1768574818882,3780.47539536704,-1287.29885592255
68.4609683857466,3688.54704408817,-1622.65327790419
79.2016405019255,3608.86393914859,-1600.96369316585
91.6273901188674,3195.06815374659,-1626.45490432244
106.002584880688,3114.47211123906,-1688.87496898134
122.633068417756,2944.68391469233,-1819.60427435783
141.87266741166,2663.7586857688,-1773.04260496835
164.130719537513,2524.42584907551,-1845.81158519058
189.880782446526,2310.60477417986,-1725.36124642582
219.670709079324,2072.48506502399,-1677.04201805392
254.134303670264,1745.40478086112,-1800.6727040451
294.004806433471,1795.95885646201,-1569.44576096079
340.130493827925,1486.13710900607,-1607.61112953902
393.492726309585,1354.41487177248,-1454.02830161066
455.226827550731,1187.31053863997,-1359.89008759213
526.646239348428,1075.4320220569,-1298.73686651799
609.270466136868,945.09017485152,-1218.57117015298
704.85740364519,807.67015459495,-1102.17610228399
815.440739518517,729.001359793935,-1005.68424687197
943.373221629978,616.326632185044,-910.035860403383
1091.37671465127,583.881344893794,-889.436633385121
1262.60010987486,496.172859914871,-800.219910115709
1460.68632036499,491.4200959665,-673.985454032005
1689.84978681246,380.370238715164,-615.03696218725
1954.96614309126,359.029615229969,-563.089525090682
2261.67594922286,341.005806531904,-503.641280395742
2616.50469874882,306.881873283553,-450.589611418493
3027.00165376346,269.770444694832,-440.131084245146
3501.90046143171,244.50338169382,-361.063989426922
4051.30496923538,235.44090582587,-336.419781696462
4686.90419231419,217.516704716502,-295.962020124829
5422.22100650159,191.177359336244,-268.276296192654
6272.89985819625,190.813706936734,-232.768450123573
7257.03961232422,180.71630547609,-214.685888379488
8395.57861999512,170.999674944952,-187.363468168282
9712.74019847118,156.820759453858,-171.460502826597
11236.5480013875,156.527808905802,-156.106242604105
12999.4222441325,153.599454750164,-130.199171917771
15038.8694695541,144.166297149741,-117.681830257991
17398.2805293037,133.5730839006,-101.377789039473
20127.8537584994,131.773342150817,-95.5239337095276
23285.662984982,130.460051008043,-81.841566127676
26938.8930959018,124.119943650903,-70.2236038955721
31165.2694492943,116.996582723613,-68.5407089971961
36054.7115425051,122.822222966856,-63.9210466486795
41711.2461205652,115.972779600301,-54.3850485288774
48255.2204274128,114.639461240501,-48.4236718014531
55825.862688627,117.9382080533,-42.2771510902248
64584.2443019699,110.826139308516,-33.9065538024406
74716.7067586808,113.214113096065,-34.5765313066591
86438.8262059828,107.114013142374,-29.2609810748309
1e+05,108.078792826511,-27.3206063961277
