"frequency_Hz","Z_real","Z_imag"
1,114726.727668569,-209638.757762056
1.21547425007629,86015.4719761784,-172799.917736266
1.47737765259851,88316.131977669,-143651.900993389
1.79571449437164,84517.3141085957,-116283.99516102
2.18264472839749,77809.4799313293,-113215.711236149
2.6529484644319,70541.3522066075,-85458.2663304875
3.2245905452964,75655.0559965552,-78593.8863100932
3.91940677484722,64226.6127001325,-64930.3740147082
4.76393801040134,70740.1772479133,-57329.2121364787
5.79044398060249,59140.839556823,-51606.9146439419
7.03813555493155,61818.1908026175,-53087.8463275319
8.55467253556568,62444.6186128207,-45414.4996856579
10.3979841848149,47008.563824627,-40021.257335391
12.638482029343,47712.8238047509,-42947.0884668386
15.3617494667183,44746.6592293172,-40003.700784325
18.6718109129192,43021.9541651133,-35555.7484541234
22.6951053669467,36240.8993007643,-34018.7596599989
27.5853161762918,26112.8500085325,-33558.920238899
33.5292414924956,22503.3486992189,-34889.1560442598
40.7539296587178,25783.6908748994,-33010.5317005641
49.5353520895917,18510.3346991419,-25806.8066663185
60.2089449333613,12680.5470280898,-25214.78575911
73.1824221907617,12021.0413321095,-22545.2421093432
88.9513497310823,11099.4986607984,-19865.3363542201
108.118075107661,9619.6156081006,-18069.9953261723
131.414736261176,6076.14220909306,-13932.9545491489
159.731228006025,5193.19880373835,-12306.3538384381
194.149194574388,3616.580255843,-10305.3305311389
235.983346678219,4274.43673773864,-8085.22207587833
286.831681334201,3410.4887831381,-6776.56145100382
348.636522767808,3541.42821384881,-5436.1528383195
423.758716060406,3391.16513733132,-5049.87813502042
515.067807616812,3302.24837475677,-3911.4269265198
626.051657201481,2796.29596115331,-3071.60088567782
760.949668545988,2955.14632447397,-3028.8955486467
924.914727721733,2483.19564502447,-2484.66321391329
1124.21003506209,2619.47215495795,-2121.33160348332
1366.44834929532,2583.33433469837,-1832.0634385268
1660.88278262771,2329.10139311098,-1316.92226745125
2018.76025467904,2676.21630186169,-1008.2155482427
2453.75110663982,2683.75530312811,-746.309400389478
2982.47128621689,2592.28910124798,-615.727241493785
3625.11704998853,2734.07210181579,-766.01134054149
4406.23642777357,2525.83892181977,-276.051380114954
5355.6669177069,2434.66115922427,-522.896993833925
6509.67523045816,2667.40616629683,-346.935312401568
7912.34261898132,2499.24205957031,-355.104378576
9617.24871115296,2790.43399152409,-265.004604551425
11689.5181649858,2542.20670984217,-182.394583807307
14208.3083253392,2680.97384933255,-156.47824379441
17269.8329065943,2635.19985811037,-146.220389186108
20991.0372010855,2489.78727338861,-104.846760699974
25514.0652003129,2794.02231832762,-161.75459462741
31011.6892657478,2671.70630886743,-147.510401832592
37693.9097538836,2598.91697959599,-283.365781211016
45815.9766905449,2622.09496343895,-106.372428132413
55688.1399094527,2673.32792213057,-113.656138368474
67687.5000945853,2596.41160330729,309.797988441997
82272.4134170046,2197.44012354621,-208.848504095921
1e+05,2620.5154850175,-9.61201232063102
