"frequency_Hz","Z_real","Z_imag"
1,1376.13816761286,-1004.16072772524
1.15688752831628,1252.12659486195,-917.676639040168
1.33838875317376,1160.26139782005,-911.696419659947
1.5483652565855,1021.04907744009,-776.834084862071
1.791284454622,946.62097283358,-773.122964516868
2.07231464521903,873.965660300511,-670.363130972719
2.39743496780108,816.747307977875,-591.080806021929
2.77356261419841,741.479616597874,-523.712795862496
3.20869999737045,743.73937480895,-477.485757556876
3.71210500906636,681.681804328958,-414.460438598708
4.29448798878927,664.695123381146,-350.438200168409
4.96823959473439,670.249104995388,-341.237434135801
5.74769442483535,655.480691018113,-291.609783539969
6.64943599666505,613.315004499845,-242.088676044865
7.69264957487914,609.400424166784,-222.628352009436
8.89953035288523,597.966820916394,-173.724572090603
10.2957556731251,613.66210304571,-161.277078009716
11.9110313328301,610.254844626167,-150.804939205049
13.7797235983356,610.234557968376,-155.444979162473
15.94159037456,610.52770397145,-124.244703813351
18.4426270858553,594.665462007032,-118.888463532904
21.3360452650141,588.415781394495,-109.104386453474
24.6834046706865,611.570953799419,-117.317099508245
28.5559230199011,606.661422046728,-94.1459021670456
33.0359912012834,577.598311449074,-112.040361819308
38.2189262063312,592.614868948955,-103.530769240606
44.2149990737449,580.426454822865,-99.5428246026661
51.1517809929315,563.131047039812,-118.803841797538
59.1768574818882,585.444822534038,-109.799175515489
68.4609683857466,577.226380642852,-141.608728981685
79.2016405019255,569.90739140418,-170.253601782503
91.6273901188674,564.405069573566,-144.87413414191
106.002584880688,560.335475882245,-155.24372158363
122.633068417756,537.785884098131,-183.94346406942
141.87266741166,510.373611208947,-191.556611438151
164.130719537513,487.108418529033,-225.824617447711
189.880782446526,467.43401504783,-229.69152894754
219.670709079324,441.823552552851,-260.419448182749
254.134303670264,395.473918053797,-238.804592201072
294.004806433471,368.175189051383,-237.924405818778
340.130493827925,341.569901195992,-245.124915023642
393.492726309585,296.939319582933,-248.740213322811
455.226827550731,259.224081625328,-238.544473915714
526.646239348428,231.999227549794,-234.192130365554
609.270466136868,213.756853665139,-203.183417356649
704.85740364519,187.612175527829,-190.923215823759
815.440739518517,172.01779875319,-174.455061010842
943.373221629978,151.706493555166,-159.227144019074
1091.37671465127,140.795204147956,-137.021451308796
1262.60010987486,127.907200758263,-122.781237360152
1460.68632036499,124.624118231647,-106.39163939848
1689.84978681246,115.625710811473,-95.5229999973798
1954.96614309126,108.979758708779,-75.4491712858763
2261.67594922286,110.044595030125,-69.7488429624985
2616.50469874882,112.086684935856,-57.8998571453051
3027.00165376346,107.356016037387,-58.6600990629773
3501.90046143171,106.745218608549,-46.5600592123063
4051.30496923538,103.859770081392,-40.9275378594978
4686.90419231419,100.983108206067,-36.7787076767158
5422.22100650159,101.288814343873,-26.2686930332173
6272.89985819625,100.713316963511,-28.5171819682573
7257.03961232422,99.9912990080067,-21.4501821149981
8395.57861999512,102.161495304476,-17.3838823209336
9712.74019847118,98.096544116046,-16.1693814810848
11236.5480013875,102.158150902053,-16.0695780139764
12999.4222441325,102.046213713168,-10.4560790719196
15038.8694695541,97.8076760458033,-10.3401187595696
17398.2805293037,101.453868987515,-11.3757487528504
20127.8537584994,105.006997840193,-10.7726862012637
23285.662984982,98.9752955067069,-2.7147088695172
26938.8930959018,101.763791652409,-7.32661873427729
31165.2694492943,98.4848571198891,-8.87534850563608
36054.7115425051,102.263463372885,-3.39006736837093
41711.2461205652,100.529282860514,-3.23246886553493
48255.2204274128,103.328137302133,-6.04078878408243
55825.862688627,97.0966304413622,-6.7674889699374
64584.2443019699,99.9095055550753,-2.72158829194758
74716.7067586808,98.9548849956886,0.128152313009415
86438.8262059828,99.6121557370449,-0.587076869383732
1e+05,98.7456822009416,-2.5935009487044
